young,hair_short,skin_dark,has_facial_hair,has_accessories,job_type_higher_ed,face_positive,main_hobby_Arts,main_hobby_Music,main_hobby_Sport,main_hobby_Travel,playerID
23,29,33,24,22,22,23,20,19,18,17,01J1TSQAXER19SYB115VJTTA76
21,5,25,23,24,20,21,20,18,19,17,01J1TQTERTVXPBN1RB1E4KVWQV
23,19,24,4,29,21,25,15,18,21,22,01J1TRGQETB3P9YES33NNMCVAC
19,24,25,11,26,29,33,16,11,18,23,01J1TRJG53CGG2S18N88VE78AA
26,7,27,22,27,22,20,24,20,18,20,01J1TSBC1JBYGJ3PRK05CRMF3K
26,25,25,8,28,29,20,17,19,23,15,01J1TSJPARN3CB8YRHEWD4PPG9
29,29,27,4,22,32,22,21,19,25,17,01J1TQNANBFZV7M6VRM670890H
23,20,21,4,21,26,30,16,18,17,19,01J1TQYM9CW5N1SZKRHQ6QXMB3
24,28,29,31,24,27,16,21,16,18,25,01J1TRAFFHAVG65MTKAT18D33R
23,23,21,24,27,20,29,14,20,17,15,01J1TRQWJ6NRHGJCTZ7QB4JQTK
25,29,22,23,22,26,26,22,14,23,15,01J1MWZXX64ZS0EMXHVHCWH4DA
25,24,24,23,27,31,26,17,17,18,14,01J1MXSK8ZQDH52WGQKJ57NKDX
28,20,21,21,26,28,23,19,12,19,14,01J1MXVVS1HEE2AF1K0VNF2ABG
23,30,25,7,30,20,24,20,21,22,25,01J1MW7XMJGA05QZQ4F2PBHCVQ
21,28,27,7,23,19,25,20,24,18,24,01J1MWB4213GBXXPEFP32QRYZT
27,4,25,15,28,26,24,17,17,17,25,01J1MWVG92N53460ZX8YM5YTKE
26,28,24,26,28,34,20,15,18,23,18,01J1MX6FWV8HSSA91H691AJRPY
20,26,25,7,24,25,24,20,17,12,23,01J1MXES8XXA75N1VN97GMS1CM
21,11,23,11,22,30,20,18,16,23,15,01J1MXWRPDKMVSBEHHDPDBQZAV
31,27,22,22,21,27,24,24,16,16,16,01J1MW8P5Z71SQP6SXJE5TA95J
28,17,29,24,27,23,23,16,17,21,16,01J1TJNCATR75750Z353DBMTGV
30,13,27,7,27,26,25,16,23,16,19,01J1TJPGMP6RF3APWFBDEKB1Y6
22,24,23,8,30,20,27,18,21,20,17,01J1TJQ83FHTE6V5ZG58EG8BKX
32,25,22,11,19,22,25,16,22,14,16,01J1TKZ7TJFV7JRS3HH58VS3X9
28,17,28,20,21,28,31,18,20,15,19,01J1PZ25ZGSNZE5BBKB8RYYGN5
24,4,23,8,27,25,26,20,21,17,20,01J1PZDJE0YJWR9RH12EC3F8JE
22,5,24,9,29,23,29,21,23,20,16,01J1Q0F027EEWFSFYMG0G1T7SH
27,6,28,23,26,26,31,18,21,14,15,01J1Q18EBJC9W6MZP78XVMYKNG
23,26,17,1,30,24,23,18,15,23,20,01J1Q1Q0EBAHVYBX1BJ8WBSGCS
24,7,28,22,28,22,27,24,17,20,17,01J1Q1Q7P2XR7SK53AXSEE8RJE
24,19,19,7,20,23,32,19,14,17,20,01J1PZ8C4ZQ29F4BC0JVA67XNK
25,6,31,19,25,26,24,18,23,21,14,01J1Q02H52CE72HRRSE14WJ1QW
20,7,30,28,25,23,24,18,16,20,22,01J1Q0FJ7PVSQ7BPCRTFG8ERFQ
23,7,22,23,32,23,29,23,16,17,20,01J1Q0YTWKD3ZWDCKYR2KKE2V6
21,7,31,26,19,21,22,17,20,20,19,01J1Q1VGGGNCWQATCAHV9TGTT8
30,23,24,31,28,27,22,18,15,20,21,01J1Q20AFBP1VJCFGH9A1EWDQV
26,9,25,10,32,30,19,20,16,20,18,01J1PZCTHQP71S434SW06PWCCY
24,24,23,28,29,25,26,16,18,17,25,01J1PZCBVB625VHEMVH56A888Z
19,24,27,14,24,20,25,19,19,18,20,01J1PZYJRE4B1097RERSTSZK5R
19,28,21,7,29,33,25,21,19,18,20,01J1Q12BT034S3ZZDH7SYSE254
22,12,24,9,29,22,24,24,14,19,21,01J1Q1A8S8G25PS4DTFM46W2BF
32,10,25,8,27,31,23,21,17,21,19,01J1Q1F6GS9M6QCT06XWSPMJ8T
22,22,29,24,23,20,24,22,18,21,25,01J1PZSN7JT669G2062Y6EN9MJ
23,7,19,25,29,25,19,21,18,16,17,01J1PZYWFJQCYHBATS2BZKF495
22,8,33,21,34,21,17,20,16,16,24,01J1TDBY653Z3D894JJEWZCKWG
22,7,31,22,25,25,21,20,22,17,21,01J1TA3CD9XAEMNW72J38Z4F7B
29,8,21,27,20,28,21,22,16,14,20,01J1TAADB62E5F9J5EG3TTP5QV
25,24,24,4,22,22,24,17,16,24,15,01J1TBT48VZKFKFDS6GK9SHEMD
25,27,24,28,25,24,30,17,13,20,24,01J1TBVGS6P0FS7Q5RWZCV73T5
31,28,22,8,26,25,26,21,16,18,21,01J1TCJGX1P3HEKZGP89M3E2BK
18,21,23,5,27,26,27,27,15,15,21,01J1TD3ASDEC13XM355PBT5FS6
21,26,27,7,31,28,23,20,12,25,19,01J1TD827ZXHNJPMB6JMZ6N261
22,25,26,25,19,27,27,26,16,20,26,01J1TBJYBDAYYCC0XBJHYZAMBF
22,26,32,23,27,27,30,17,19,15,23,01J1TC6DB5DA2JF5HX4N3SNCA4
21,23,23,32,24,26,26,15,10,25,18,01J1TC7SDD58JZHWXGEKD448GB
18,14,29,11,32,30,27,20,20,22,18,01J1TDJDB6GQBQ4GN19A3M5TX2
29,24,19,11,25,24,32,20,22,18,18,01J1TAK73B5GS3A5A9MW01SY76
25,25,28,34,27,24,25,12,16,21,13,01J1TAVXE0MW7BHQDK41SV837G
26,25,28,8,25,25,24,21,19,20,22,01J1TAX4QFS8TY0YF4E5VW2HD4
31,11,27,21,21,20,24,21,19,19,23,01J1TCPHM868V9E4AD8TT7PTFG
22,25,26,26,19,26,24,19,23,15,15,01J1TDQP5ZANE8TA9ZN9G7WV71
25,27,28,8,27,21,28,19,17,13,17,01J1TERHK8MMBZERDWSTBX3HJ4
